;capas;encoding_dim;epochs;batch_size;rmse;mae
262;[195];2016;1000;16;0.034348905;0.0014108046
263;[195];2016;10000;16;0.034468118;0.0014123988
265;[195];100;300;8;0.015193618;0.00024740217
266;[195];100;300;32;0.011402255;0.00014633953
267;[195];100;300;64;0.012624889;0.00017405728
268;[195];100;300;512;0.016956171;0.0003156586
269;[195];100;1000;8;0.01627541;0.00029516753
270;[195];100;1000;32;0.0113667;0.00013906644
271;[195];100;1000;64;0.015812986;0.00027326317
272;[195];100;1000;512;0.017819988;0.0003416388
273;[195];100;10000;8;0.014938518;0.00024416653
274;[195];100;10000;32;0.011805158;0.0001541955
275;[195];100;10000;64;0.012344149;0.00016768549
276;[195];100;10000;512;0.017260777;0.00031912467
277;[195];190;300;8;0.013628271;0.00020407297
278;[195];190;300;32;0.011750374;0.0001532112
279;[195];190;300;64;0.012157407;0.00016267801
280;[195];190;300;512;0.016471826;0.00029954375
281;[195];190;1000;8;0.0128522515;0.00017875117
282;[195];190;1000;32;0.012744196;0.0001758186
283;[195];190;1000;64;0.013443015;0.00019477039
284;[195];190;1000;512;0.018198721;0.000363456
285;[195];190;10000;8;0.01277004;0.00017990387
286;[195];190;10000;32;0.010545061;0.00012463226
287;[195];190;10000;64;0.012485515;0.00016751383
288;[195];190;10000;512;0.017027305;0.00031268917
289;[195];200;300;8;0.012713914;0.00017809392
290;[195];200;300;32;0.010895816;0.00013505576
291;[195];200;300;64;0.014082156;0.00022759152
292;[195];200;300;512;0.017728794;0.00034487518
293;[195];200;1000;8;0.01233375;0.00016544924
294;[195];200;1000;32;0.011500115;0.00014502565
295;[195];200;1000;64;0.013075462;0.00018650535
296;[195];200;1000;512;0.018679056;0.00036751805
297;[195];200;10000;8;0.012381637;0.00017090108
298;[195];200;10000;32;0.012695848;0.00017793973
299;[195];200;10000;64;0.015830006;0.00027285505
300;[195];200;10000;512;0.018213049;0.00037216325
301;[195];220;300;8;0.0131853465;0.0001958589
302;[195];220;300;32;0.011139003;0.00013720407
301;[195];220;300;64;0.012891571;0.00019211257
302;[195];220;300;512;0.017260123;0.00032166953
303;[195];220;1000;8;0.012522527;0.00017248458
304;[195];220;1000;32;0.012008568;0.00015886655
305;[195];220;1000;64;0.010711808;0.000129057
306;[195];220;1000;512;0.01820028;0.00036406357
307;[195];220;10000;8;0.013458373;0.00020151198
308;[195];220;10000;32;0.012157793;0.00016427328
309;[195];220;10000;64;0.013311817;0.00019503573
310;[195];220;10000;512;0.017094778;0.00031675262
311;[195];1008;300;8;0.012328425;0.00016827986
312;[195];1008;300;32;0.031902988;0.001252575
311;[195];1008;300;64;0.023175409;0.00062615937
313;[195];1008;300;512;0.021361033;0.0005331975
314;[195];1008;1000;8;0.019101232;0.00042002933
315;[195];1008;1000;64;0.020367132;0.000466586
316;[195];1008;1000;512;0.0193155;0.00043204546
317;[195];1008;10000;8;0.012705697;0.00018236754
318;[195];1008;10000;32;0.020429721;0.00046845945
319;[195];1008;10000;64;0.03452914;0.0014215925
320;[195];1008;10000;512;0.031456858;0.0012261013
321;[195];2016;300;8;0.027942017;0.00092908845
322;[195];2016;300;32;0.032111514;0.0012670351
321;[195];2016;300;64;0.032538615;0.0012913231
322;[195];2016;300;512;0.039611317;0.0020784775
323;[195];2016;1000;8;0.039694414;0.0020898755
324;[195];2016;1000;32;0.03456908;0.0014201483
325;[195];2016;1000;64;0.03962055;0.0020823588
326;[195];2016;1000;512;0.03961138;0.0020776205
327;[195];2016;10000;8;0.03427491;0.0014004462
